Experiment,Method,Classifier,"Train_MulticlassTruePositiveRate{MLJBase.MacroAvg, OrderedCollections.LittleDict}","Test_MulticlassTruePositiveRate{MLJBase.MacroAvg, OrderedCollections.LittleDict}"
86,ldbk,CT,1.0,0.8498498498498499
86,ldbk,LDA,0.8989898989898991,0.9059059059059059
86,ldbkash,CT,1.0,0.6786786786786787
86,ldbkash,LDA,0.7575757575757575,0.7017017017017017
86,ldbkemd,CT,1.0,0.9159159159159159
86,ldbkemd,LDA,0.9292929292929294,0.9039039039039038
17,original,CT,1.0,0.8178178178178178
17,original,LDA,1.0,0.7347347347347347
17,ldbk,CT,1.0,0.9159159159159159
17,ldbk,LDA,0.9292929292929294,0.888888888888889
17,ldbkash,CT,1.0,0.8958958958958959
17,ldbkash,LDA,0.9696969696969697,0.9059059059059059
17,ldbkemd,CT,1.0,0.8458458458458459
17,ldbkemd,LDA,0.9292929292929294,0.8868868868868868
99,original,CT,1.0,0.8268268268268267
99,original,LDA,1.0,0.7747747747747749
99,ldbk,CT,1.0,0.9119119119119118
99,ldbk,LDA,0.9191919191919192,0.886886886886887
99,ldbkash,CT,1.0,0.6566566566566566
99,ldbkash,LDA,0.7777777777777778,0.6606606606606606
99,ldbkemd,CT,1.0,0.9179179179179179
99,ldbkemd,LDA,0.9595959595959597,0.893893893893894
71,original,CT,1.0,0.8318318318318317
71,original,LDA,1.0,0.7217217217217217
71,ldbk,CT,1.0,0.9099099099099099
71,ldbk,LDA,0.9191919191919192,0.8678678678678678
71,ldbkash,CT,1.0,0.6486486486486487
71,ldbkash,LDA,0.6868686868686869,0.5165165165165165
71,ldbkemd,CT,1.0,0.8888888888888888
71,ldbkemd,LDA,0.9292929292929294,0.8578578578578578
37,original,CT,1.0,0.8248248248248249
37,original,LDA,1.0,0.6856856856856858
37,ldbk,CT,1.0,0.871871871871872
37,ldbk,LDA,0.888888888888889,0.8658658658658659
37,ldbkash,CT,1.0,0.7177177177177178
37,ldbkash,LDA,0.7272727272727272,0.5245245245245245
37,ldbkemd,CT,1.0,0.8738738738738738
37,ldbkemd,LDA,0.8989898989898991,0.8678678678678678
47,original,CT,1.0,0.8088088088088088
47,original,LDA,1.0,0.7127127127127126
47,ldbk,CT,1.0,0.8888888888888888
47,ldbk,LDA,0.9191919191919192,0.9089089089089089
47,ldbkash,CT,1.0,0.7247247247247247
47,ldbkash,LDA,0.7676767676767677,0.6456456456456455
47,ldbkemd,CT,1.0,0.8978978978978979
47,ldbkemd,LDA,0.9090909090909092,0.9079079079079079
9,original,CT,1.0,0.8578578578578578
9,original,LDA,1.0,0.6466466466466466
9,ldbk,CT,1.0,0.9209209209209209
9,ldbk,LDA,0.8989898989898991,0.881881881881882
9,ldbkash,CT,1.0,0.8188188188188188
9,ldbkash,LDA,0.8585858585858587,0.7967967967967967
9,ldbkemd,CT,1.0,0.9389389389389389
9,ldbkemd,LDA,0.9393939393939394,0.8828828828828829
73,original,CT,1.0,0.8238238238238238
73,original,LDA,1.0,0.6656656656656655
73,ldbk,CT,1.0,0.9139139139139139
73,ldbk,LDA,0.888888888888889,0.8738738738738738
73,ldbkash,CT,1.0,0.8648648648648649
73,ldbkash,LDA,0.8686868686868686,0.8198198198198199
73,ldbkemd,CT,1.0,0.91991991991992
73,ldbkemd,LDA,0.888888888888889,0.8738738738738738
82,original,CT,1.0,0.8208208208208209
82,original,LDA,1.0,0.6466466466466466
82,ldbk,CT,1.0,0.9039039039039038
82,ldbk,LDA,0.9191919191919192,0.8708708708708709
82,ldbkash,CT,1.0,0.8408408408408409
82,ldbkash,LDA,0.9292929292929294,0.8408408408408409
82,ldbkemd,CT,1.0,0.908908908908909
82,ldbkemd,LDA,0.9191919191919192,0.8748748748748749
12,original,CT,1.0,0.8578578578578577
12,original,LDA,1.0,0.7167167167167167
12,ldbk,CT,1.0,0.8648648648648649
12,ldbk,LDA,0.8888888888888888,0.8568568568568568
12,ldbkash,CT,1.0,0.7037037037037037
12,ldbkash,LDA,0.7171717171717171,0.5725725725725727
12,ldbkemd,CT,1.0,0.8958958958958959
12,ldbkemd,LDA,0.8888888888888888,0.8698698698698699
79,original,CT,1.0,0.8178178178178178
79,original,LDA,1.0,0.6836836836836837
79,ldbk,CT,1.0,0.93993993993994
79,ldbk,LDA,0.9393939393939394,0.8738738738738739
79,ldbkash,CT,1.0,0.7737737737737739
79,ldbkash,LDA,0.8282828282828283,0.6776776776776776
79,ldbkemd,CT,1.0,0.876876876876877
79,ldbkemd,LDA,0.9393939393939394,0.8748748748748749
20,original,CT,1.0,0.8098098098098099
20,original,LDA,1.0,0.5825825825825826
20,ldbk,CT,1.0,0.8758758758758759
20,ldbk,LDA,0.8787878787878788,0.8998998998998999
20,ldbkash,CT,1.0,0.6306306306306306
20,ldbkash,LDA,0.6666666666666666,0.5755755755755756
20,ldbkemd,CT,1.0,0.8858858858858859
20,ldbkemd,LDA,0.888888888888889,0.891891891891892
6,original,CT,1.0,0.8548548548548549
6,original,LDA,1.0,0.6246246246246246
6,ldbk,CT,1.0,0.8748748748748749
6,ldbk,LDA,0.9090909090909092,0.8548548548548549
6,ldbkash,CT,1.0,0.8478478478478478
6,ldbkash,LDA,0.888888888888889,0.8328328328328328
6,ldbkemd,CT,1.0,0.903903903903904
6,ldbkemd,LDA,0.8989898989898991,0.8548548548548549
84,original,CT,1.0,0.8478478478478477
84,original,LDA,1.0,0.6656656656656655
84,ldbk,CT,1.0,0.911911911911912
84,ldbk,LDA,0.9292929292929294,0.8768768768768768
84,ldbkash,CT,1.0,0.6606606606606606
84,ldbkash,LDA,0.7878787878787877,0.5655655655655656
84,ldbkemd,CT,1.0,0.9069069069069068
84,ldbkemd,LDA,0.9292929292929294,0.8768768768768768
80,original,CT,1.0,0.8028028028028028
80,original,LDA,1.0,0.6926926926926926
80,ldbk,CT,1.0,0.9069069069069068
80,ldbk,LDA,0.9393939393939394,0.8698698698698699
80,ldbkash,CT,1.0,0.7297297297297297
80,ldbkash,LDA,0.7070707070707071,0.5955955955955956
80,ldbkemd,CT,1.0,0.938938938938939
80,ldbkemd,LDA,0.9393939393939394,0.8708708708708709
98,original,CT,1.0,0.8318318318318317
98,original,LDA,1.0,0.7487487487487487
98,ldbk,CT,1.0,0.8678678678678677
98,ldbk,LDA,0.9292929292929294,0.896896896896897
98,ldbkash,CT,1.0,0.7667667667667667
98,ldbkash,LDA,0.7474747474747474,0.4974974974974975
98,ldbkemd,CT,1.0,0.936936936936937
98,ldbkemd,LDA,0.9090909090909092,0.8958958958958959
70,original,CT,1.0,0.8358358358358359
70,original,LDA,1.0,0.5965965965965966
70,ldbk,CT,1.0,0.8838838838838838
70,ldbk,LDA,0.9090909090909092,0.8998998998998999
70,ldbkash,CT,1.0,0.6776776776776777
70,ldbkash,LDA,0.7575757575757575,0.5815815815815816
70,ldbkemd,CT,1.0,0.918918918918919
70,ldbkemd,LDA,0.9393939393939394,0.8938938938938938
14,original,CT,1.0,0.8428428428428428
14,original,LDA,1.0,0.6546546546546547
14,ldbk,CT,1.0,0.8758758758758759
14,ldbk,LDA,0.8989898989898991,0.8288288288288288
14,ldbkash,CT,1.0,0.7417417417417417
14,ldbkash,LDA,0.7474747474747474,0.6106106106106105
14,ldbkemd,CT,1.0,0.8788788788788788
14,ldbkemd,LDA,0.9292929292929294,0.8738738738738738
7,original,CT,1.0,0.8198198198198199
7,original,LDA,1.0,0.6676676676676676
7,ldbk,CT,1.0,0.893893893893894
7,ldbk,LDA,0.9191919191919192,0.8688688688688689
7,ldbkash,CT,1.0,0.5825825825825827
7,ldbkash,LDA,0.6868686868686869,0.4904904904904905
7,ldbkemd,CT,1.0,0.8908908908908909
7,ldbkemd,LDA,0.888888888888889,0.8648648648648649
96,original,CT,1.0,0.8298298298298299
96,original,LDA,1.0,0.6826826826826826
96,ldbk,CT,1.0,0.866866866866867
96,ldbk,LDA,0.9595959595959597,0.8848848848848849
96,ldbkash,CT,1.0,0.8538538538538539
96,ldbkash,LDA,0.9090909090909092,0.7907907907907908
96,ldbkemd,CT,1.0,0.8798798798798799
96,ldbkemd,LDA,0.9595959595959597,0.8788788788788789
57,original,CT,1.0,0.8408408408408409
57,original,LDA,1.0,0.6896896896896897
57,ldbk,CT,1.0,0.9079079079079079
57,ldbk,LDA,0.9393939393939394,0.8798798798798798
57,ldbkash,CT,1.0,0.8348348348348349
57,ldbkash,LDA,0.8484848484848486,0.7437437437437437
57,ldbkemd,CT,1.0,0.9119119119119118
57,ldbkemd,LDA,0.9191919191919192,0.8678678678678678
8,original,CT,1.0,0.8418418418418417
8,original,LDA,1.0,0.6426426426426427
8,ldbk,CT,1.0,0.8258258258258259
8,ldbk,LDA,0.8585858585858586,0.8238238238238239
8,ldbkash,CT,1.0,0.5185185185185185
8,ldbkash,LDA,0.6868686868686869,0.5015015015015015
8,ldbkemd,CT,1.0,0.908908908908909
8,ldbkemd,LDA,0.8989898989898991,0.8748748748748749
64,original,CT,1.0,0.8248248248248248
64,original,LDA,1.0,0.6216216216216216
64,ldbk,CT,1.0,0.8888888888888888
64,ldbk,LDA,0.8888888888888888,0.8928928928928929
64,ldbkash,CT,1.0,0.6446446446446447
64,ldbkash,LDA,0.7171717171717171,0.5295295295295295
64,ldbkemd,CT,1.0,0.9279279279279279
64,ldbkemd,LDA,0.9191919191919192,0.8828828828828829
19,original,CT,1.0,0.8188188188188188
19,original,LDA,1.0,0.7287287287287287
