Experiment,Method,Classifier,"Train_MulticlassPrecision{MLJBase.MacroAvg, OrderedCollections.LittleDict}","Test_MulticlassPrecision{MLJBase.MacroAvg, OrderedCollections.LittleDict}"
9,ldbkash,LDA,0.8578898225957049,0.8094907890515622
9,ldbkemd,CT,1.0,0.9396152191284037
9,ldbkemd,LDA,0.9410714285714286,0.8901396198830409
73,original,CT,1.0,0.8245879019054909
73,original,LDA,1.0,0.6694112491227291
73,ldbk,CT,1.0,0.9212527456555238
73,ldbk,LDA,0.8935185185185185,0.875496573302511
73,ldbkash,CT,1.0,0.8705072604599133
73,ldbkash,LDA,0.872922502334267,0.822124339571841
73,ldbkemd,CT,1.0,0.9291288230253966
73,ldbkemd,LDA,0.8935185185185185,0.875496573302511
82,original,CT,1.0,0.8180869993227905
82,original,LDA,1.0,0.6492804135145653
82,ldbk,CT,1.0,0.902962198524634
82,ldbk,LDA,0.9191919191919192,0.8711115672322569
82,ldbkash,CT,1.0,0.8412003290520164
82,ldbkash,LDA,0.9304812834224598,0.8402624093017549
82,ldbkemd,CT,1.0,0.9081196581196581
82,ldbkemd,LDA,0.9201228878648233,0.8744244084303432
12,original,CT,1.0,0.8570654096430333
12,original,LDA,1.0,0.7187097426229814
12,ldbk,CT,1.0,0.8636196636196636
12,ldbk,LDA,0.8917004142810594,0.857659541498338
12,ldbkash,CT,1.0,0.7325196099827307
12,ldbkash,LDA,0.7031822344322345,0.5613560049004087
12,ldbkemd,CT,1.0,0.8982226515589984
12,ldbkemd,LDA,0.8917004142810594,0.8711078564074691
79,original,CT,1.0,0.8277946456172754
79,original,LDA,1.0,0.6967887750045987
79,ldbk,CT,1.0,0.9412684721982635
79,ldbk,LDA,0.9393939393939394,0.8931315714691673
79,ldbkash,CT,1.0,0.7783674241786649
79,ldbkash,LDA,0.8264827327327328,0.6886395060611088
79,ldbkemd,CT,1.0,0.8897660769256791
79,ldbkemd,LDA,0.9393939393939394,0.8920271242944274
20,original,CT,1.0,0.8100788636886097
20,original,LDA,1.0,0.5822817179350313
20,ldbk,CT,1.0,0.8793751124789924
20,ldbk,LDA,0.8881578947368421,0.9052832335606179
20,ldbkash,CT,1.0,0.6369224567575491
20,ldbkash,LDA,0.6605908711171868,0.5607387278751024
20,ldbkemd,CT,1.0,0.8880912194658054
20,ldbkemd,LDA,0.8993658671078026,0.8984416897813958
6,original,CT,1.0,0.8575254291669635
6,original,LDA,1.0,0.6358725260491076
6,ldbk,CT,1.0,0.8779083237612907
6,ldbk,LDA,0.9102606951871658,0.8628788409400654
6,ldbkash,CT,1.0,0.8514694538331151
6,ldbkash,LDA,0.8907738095238096,0.8378902969011255
6,ldbkemd,CT,1.0,0.905938687332036
6,ldbkemd,LDA,0.899862596553773,0.8633853464329287
84,original,CT,1.0,0.8470346106884569
84,original,LDA,1.0,0.6784019971329268
84,ldbk,CT,1.0,0.9128215835585032
84,ldbk,LDA,0.9358741681790683,0.8851279615788864
84,ldbkash,CT,1.0,0.6638494628084621
84,ldbkash,LDA,0.8047165047966972,0.5677956072522385
84,ldbkemd,CT,1.0,0.9078168752387981
84,ldbkemd,LDA,0.9358741681790683,0.8851279615788864
80,original,CT,1.0,0.8103845068454971
80,original,LDA,1.0,0.6913569398121335
80,ldbk,CT,1.0,0.9073330317638592
80,ldbk,LDA,0.9403993855606759,0.8769494003293652
80,ldbkash,CT,1.0,0.726927010276484
80,ldbkash,LDA,0.7133967823622995,0.5959484745611914
80,ldbkemd,CT,1.0,0.9394210564598543
80,ldbkemd,LDA,0.9403993855606759,0.8769512433566184
98,original,CT,1.0,0.8306975958588861
98,original,LDA,1.0,0.7473488710983829
98,ldbk,CT,1.0,0.8696556473829201
98,ldbk,LDA,0.9295343137254902,0.9066376890641279
98,ldbkash,CT,1.0,0.7669688458708842
98,ldbkash,LDA,0.741321044546851,0.4949722791494052
98,ldbkemd,CT,1.0,0.938034188034188
98,ldbkemd,LDA,0.9111111111111111,0.903438006394254
70,original,CT,1.0,0.8352121801101393
70,original,LDA,1.0,0.5984196526053152
70,ldbk,CT,1.0,0.8853311569879634
70,ldbk,LDA,0.9121863799283154,0.9010880316518298
70,ldbkash,CT,1.0,0.6751326999420135
70,ldbkash,LDA,0.7569023569023569,0.5756436186810883
70,ldbkemd,CT,1.0,0.9218882718586634
70,ldbkemd,LDA,0.9402852049910874,0.894074394719556
14,original,CT,1.0,0.8425182773251756
14,original,LDA,1.0,0.6553906674832484
14,ldbk,CT,1.0,0.875237587999015
14,ldbk,LDA,0.9036036036036036,0.8288418772133181
14,ldbkash,CT,1.0,0.7426010298018411
14,ldbkash,LDA,0.748062015503876,0.5889131315462137
14,ldbkemd,CT,1.0,0.8780948977250209
14,ldbkemd,LDA,0.9321983273596177,0.873600789770925
7,original,CT,1.0,0.8289219868904107
7,original,LDA,1.0,0.6769880516849422
7,ldbk,CT,1.0,0.8926233647480135
7,ldbk,LDA,0.9207734380148174,0.8694956221139545
7,ldbkash,CT,1.0,0.5799519943979972
7,ldbkash,LDA,0.6857731729055259,0.4999101513732481
7,ldbkemd,CT,1.0,0.88950883613962
7,ldbkemd,LDA,0.892156862745098,0.8658043546983762
96,original,CT,1.0,0.8284652903369784
96,original,LDA,1.0,0.6769770512620046
96,ldbk,CT,1.0,0.867331694582595
