Experiment,Method,Classifier,Train_MisclassificationRate,Test_MisclassificationRate
5,ldbk,CT,0.0,0.1061061061061061
5,ldbk,LDA,0.1111111111111111,0.14314314314314314
5,ldbkash,CT,0.0,0.2882882882882883
5,ldbkash,LDA,0.3333333333333333,0.4794794794794795
5,ldbkemd,CT,0.0,0.10510510510510511
5,ldbkemd,LDA,0.10101010101010101,0.15015015015015015
31,original,CT,0.0,0.16116116116116116
31,original,LDA,0.0,0.35135135135135137
31,ldbk,CT,0.0,0.10710710710710711
31,ldbk,LDA,0.1111111111111111,0.13613613613613615
31,ldbkash,CT,0.0,0.24924924924924924
31,ldbkash,LDA,0.2828282828282828,0.47847847847847846
31,ldbkemd,CT,0.0,0.07907907907907907
31,ldbkemd,LDA,0.10101010101010101,0.15715715715715717
89,original,CT,0.0,0.14914914914914915
89,original,LDA,0.0,0.2012012012012012
89,ldbk,CT,0.0,0.07907907907907907
89,ldbk,LDA,0.04040404040404041,0.0980980980980981
89,ldbkash,CT,0.0,0.34934934934934936
89,ldbkash,LDA,0.25252525252525254,0.44644644644644643
89,ldbkemd,CT,0.0,0.06906906906906907
89,ldbkemd,LDA,0.04040404040404041,0.1031031031031031
62,original,CT,0.0,0.14914914914914915
62,original,LDA,0.0,0.2922922922922923
62,ldbk,CT,0.0,0.043043043043043044
62,ldbk,LDA,0.08080808080808081,0.10710710710710711
62,ldbkash,CT,0.0,0.44344344344344344
62,ldbkash,LDA,0.3333333333333333,0.5265265265265265
62,ldbkemd,CT,0.0,0.07607607607607608
62,ldbkemd,LDA,0.0707070707070707,0.1021021021021021
43,original,CT,0.0,0.16716716716716717
43,original,LDA,0.0,0.3113113113113113
43,ldbk,CT,0.0,0.11811811811811812
43,ldbk,LDA,0.10101010101010101,0.10810810810810811
43,ldbkash,CT,0.0,0.4644644644644645
43,ldbkash,LDA,0.24242424242424243,0.47147147147147145
43,ldbkemd,CT,0.0,0.09309309309309309
43,ldbkemd,LDA,0.1111111111111111,0.11311311311311312
90,original,CT,0.0,0.16016016016016016
90,original,LDA,0.0,0.34934934934934936
90,ldbk,CT,0.0,0.13113113113113112
90,ldbk,LDA,0.1111111111111111,0.13913913913913914
90,ldbkash,CT,0.0,0.14714714714714713
90,ldbkash,LDA,0.12121212121212122,0.13313313313313313
90,ldbkemd,CT,0.0,0.13313313313313313
90,ldbkemd,LDA,0.08080808080808081,0.15715715715715717
39,original,CT,0.0,0.16716716716716717
39,original,LDA,0.0,0.3113113113113113
39,ldbk,CT,0.0,0.11711711711711711
39,ldbk,LDA,0.1111111111111111,0.14914914914914915
39,ldbkash,CT,0.0,0.37537537537537535
39,ldbkash,LDA,0.25252525252525254,0.43243243243243246
39,ldbkemd,CT,0.0,0.0990990990990991
39,ldbkemd,LDA,0.09090909090909091,0.15915915915915915
34,original,CT,0.0,0.15815815815815815
34,original,LDA,0.0,0.2672672672672673
34,ldbk,CT,0.0,0.08208208208208208
34,ldbk,LDA,0.10101010101010101,0.11311311311311312
34,ldbkash,CT,0.0,0.38538538538538536
34,ldbkash,LDA,0.36363636363636365,0.4984984984984985
34,ldbkemd,CT,0.0,0.08008008008008008
34,ldbkemd,LDA,0.08080808080808081,0.11811811811811812
44,original,CT,0.0,0.15115115115115116
44,original,LDA,0.0,0.2882882882882883
44,ldbk,CT,0.0,0.16316316316316315
44,ldbk,LDA,0.050505050505050504,0.13713713713713713
44,ldbkash,CT,0.0,0.3973973973973974
44,ldbkash,LDA,0.25252525252525254,0.5005005005005005
44,ldbkemd,CT,0.0,0.13913913913913914
44,ldbkemd,LDA,0.06060606060606061,0.14014014014014015
94,original,CT,0.0,0.12512512512512514
94,original,LDA,0.0,0.2602602602602603
94,ldbk,CT,0.0,0.14014014014014015
94,ldbk,LDA,0.10101010101010101,0.13213213213213212
94,ldbkash,CT,0.0,0.42542542542542544
94,ldbkash,LDA,0.36363636363636365,0.42742742742742745
94,ldbkemd,CT,0.0,0.057057057057057055
94,ldbkemd,LDA,0.12121212121212122,0.12512512512512514
55,original,CT,0.0,0.18218218218218218
55,original,LDA,0.0,0.34434434434434436
55,ldbk,CT,0.0,0.11811811811811812
55,ldbk,LDA,0.06060606060606061,0.11311311311311312
55,ldbkash,CT,0.0,0.2672672672672673
55,ldbkash,LDA,0.1919191919191919,0.4094094094094094
55,ldbkemd,CT,0.0,0.12412412412412413
55,ldbkemd,LDA,0.0707070707070707,0.1111111111111111
86,original,CT,0.0,0.15615615615615616
86,original,LDA,0.0,0.35135135135135137
86,ldbk,CT,0.0,0.15015015015015015
86,ldbk,LDA,0.10101010101010101,0.0940940940940941
86,ldbkash,CT,0.0,0.3213213213213213
86,ldbkash,LDA,0.24242424242424243,0.2982982982982983
86,ldbkemd,CT,0.0,0.08408408408408409
86,ldbkemd,LDA,0.0707070707070707,0.0960960960960961
17,original,CT,0.0,0.18218218218218218
17,original,LDA,0.0,0.2652652652652653
17,ldbk,CT,0.0,0.08408408408408409
17,ldbk,LDA,0.0707070707070707,0.1111111111111111
17,ldbkash,CT,0.0,0.1041041041041041
17,ldbkash,LDA,0.030303030303030304,0.0940940940940941
17,ldbkemd,CT,0.0,0.15415415415415415
17,ldbkemd,LDA,0.0707070707070707,0.11311311311311312
99,original,CT,0.0,0.17317317317317318
99,original,LDA,0.0,0.22522522522522523
99,ldbk,CT,0.0,0.08808808808808809
99,ldbk,LDA,0.08080808080808081,0.11311311311311312
99,ldbkash,CT,0.0,0.3433433433433433
99,ldbkash,LDA,0.2222222222222222,0.33933933933933935
99,ldbkemd,CT,0.0,0.08208208208208208
99,ldbkemd,LDA,0.04040404040404041,0.1061061061061061
71,original,CT,0.0,0.16816816816816818
71,original,LDA,0.0,0.2782782782782783
71,ldbk,CT,0.0,0.09009009009009009
71,ldbk,LDA,0.08080808080808081,0.13213213213213212
71,ldbkash,CT,0.0,0.35135135135135137
71,ldbkash,LDA,0.31313131313131315,0.48348348348348347
71,ldbkemd,CT,0.0,0.1111111111111111
71,ldbkemd,LDA,0.0707070707070707,0.14214214214214213
37,original,CT,0.0,0.17517517517517517
37,original,LDA,0.0,0.31431431431431434
37,ldbk,CT,0.0,0.12812812812812813
37,ldbk,LDA,0.1111111111111111,0.13413413413413414
37,ldbkash,CT,0.0,0.2822822822822823
37,ldbkash,LDA,0.2727272727272727,0.4754754754754755
37,ldbkemd,CT,0.0,0.12612612612612611
37,ldbkemd,LDA,0.10101010101010101,0.13213213213213212
47,original,CT,0.0,0.19119119119119118
47,original,LDA,0.0,0.2872872872872873
47,ldbk,CT,0.0,0.1111111111111111
47,ldbk,LDA,0.08080808080808081,0.09109109109109109
47,ldbkash,CT,0.0,0.2752752752752753
47,ldbkash,LDA,0.23232323232323232,0.35435435435435436
47,ldbkemd,CT,0.0,0.1021021021021021
47,ldbkemd,LDA,0.09090909090909091,0.0920920920920921
9,original,CT,0.0,0.14214214214214213
9,original,LDA,0.0,0.3533533533533533
9,ldbk,CT,0.0,0.07907907907907907
9,ldbk,LDA,0.10101010101010101,0.11811811811811812
9,ldbkash,CT,0.0,0.18118118118118118
9,ldbkash,LDA,0.1414141414141414,0.2032032032032032
9,ldbkemd,CT,0.0,0.06106106106106106
9,ldbkemd,LDA,0.06060606060606061,0.11711711711711711
73,original,CT,0.0,0.17617617617617617
73,original,LDA,0.0,0.33433433433433435
73,ldbk,CT,0.0,0.08608608608608609
73,ldbk,LDA,0.1111111111111111,0.12612612612612611
73,ldbkash,CT,0.0,0.13513513513513514
73,ldbkash,LDA,0.13131313131313133,0.18018018018018017
73,ldbkemd,CT,0.0,0.08008008008008008
73,ldbkemd,LDA,0.1111111111111111,0.12612612612612611
82,original,CT,0.0,0.17917917917917917
